timestamp,open,high,low,close,volume
2023-01-01,103.75,104.28,102.33,103.51,2478
2023-01-02,109.51,111.46000000000001,108.80000000000001,109.25,4499
2023-01-03,107.32,109.07,106.38,106.55,3556
2023-01-04,105.99,106.80999999999999,104.94,106.71,1775
2023-01-05,101.56,102.33,100.38,102.26,1034
2023-01-06,101.56,102.34,99.88,101.87,3253
2023-01-07,100.58,101.53999999999999,99.78,100.32,4152
2023-01-08,108.66,109.95,107.39,107.64,2955
2023-01-09,106.01,107.16000000000001,104.62,106.36,2585
2023-01-10,107.08,108.02,106.51,107.17,4943
